date,horse_code,horse_id,horse_name,horse_number,incident,position_final,race_number
2024-06-02,H402,HK_2022_H402,HANDSOME BOMB,5,Raced wide and without cover for the majority of the event.  Sent for sampling post-race.,1,10
2024-06-02,J353,HK_2023_J353,GRAND BOSS,4,"After the race, M F Poon reported that his mount hung in in the Home Straight and proved reluctant to shift to the outside for some distance approaching the 200 Metres.  Sent for sampling post-race.",2,10
2024-06-02,H347,HK_2022_H347,RUBY SAILING,12,No report.,3,10
2024-06-02,J120,HK_2023_J120,TOP SCORER,3,Bumped at the start.  Sent for sampling post-race.,4,10
2024-06-02,H055,HK_2022_H055,HOSS,14,Shortly after the start was crowded and became unbalanced.  Near the 100 Metres was directed to the inside of RUBY SAILING to continue into clear running.,5,10
2024-06-02,J174,HK_2023_J174,MY FLYING ANGEL,1,Bumped shortly after the start.,6,10
2024-06-02,E132,HK_2020_E132,LET'S DO IT,2,Jumped only fairly and from a wide barrier was shifted across behind runners in the early stages.,7,10
2024-06-02,G128,HK_2021_G128,SMILING COLLECTOR,7,Shortly after the start was crowded.  Near the 1000 Metres when racing keenly was steadied away from NOT A FEW.  Over the concluding stages could not be ridden out to the finish when it improved close to TOP SCORER.,8,10
2024-06-02,E294,HK_2020_E294,HAPPY DAILY,6,"After the race, C L Chau reported that from the outside barrier he was instructed to ride his mount conservatively in the early stages to avoid having to make too much use of it to go forward. Trainer C H Yip confirmed the instructions issued.",9,10
2024-06-02,E321,HK_2020_E321,EXCELLENT DADDY,11,No report.,10,10
2024-06-02,J150,HK_2023_J150,VULCANUS,13,Bumped shortly after the start.,11,10
2024-06-02,H278,HK_2022_H278,SMART FIGHTER,8,"In the early stages when being crossed by TOP SCORER raced keenly and was steadied away from that runner near the 1150 Metres.  Briefly held up after the 400 Metres.  After the race, K C Leung reported that as his mount raced keenly in the event, it failed to finish the race off in the Home Straight.  A veterinary inspection immediately following the race did not show any significant findings.",12,10
2024-06-02,J013,HK_2023_J013,C P ONE,9,"Jumped only fairly. <3/6/2024 Additional Veterinary Reports>The Veterinary Surgeon reported that C P ONE had sustained a left front fetlock injury on the day after racing.  Before being allowed to race again, C P ONE will be subjected to an official veterinary examination.",13,10
2024-06-02,J109,HK_2023_J109,NOT A FEW,10,Shifted out at the start and was bumped.,14,10
2024-06-12,G071,HK_2021_G071,COMET SPLENDIDO,2,On jumping was bumped by DRAGON STAR which shifted out.  Sent for sampling post-race.,1,2
2024-06-12,G095,HK_2021_G095,SETANTA,1,Bumped at the start.  From a wide barrier was shifted across behind runners in the early stages.  Sent for sampling post-race.,2,2
